Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
TojlathHD	66	DEFEAT	ROTARRAN	60	2915177984	0	Mirror Picard	Mirror Ezri	Mirror Troi	2681468973	0	1919088216	0	Sigrun	3/1/2026 2:59:09 AM
xxBEGSxx	66	VICTORY	ROTARRAN	60	3231889152	0	Gul Dukat	Andy Billups	Garak	2739216932	2720786505	2067625795	1990247609	Sigrun	3/1/2026 2:59:09 AM

Reward Name	Count

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	417088352	197811008	2300278528	Bird of Prey	Take the Shot	Anticollective	Clean It Up	Inquisitor's Wrath	6.5	381366848	42934123	3667329	3667329	0.22	3.15	6.5	2711464	2683796	34166940	6.5	1919088216	2681468973	162	1184	447.6	4128750	0	1	NO	NO
Enemy Fleet 1	501976192	210454256	2519458816	Bird of Prey	Prefect of Bajor	Manic Ambition	In Your Element	Outcast Spy	6.5	465928128	44022786	3830624	3776192	0.22	4.4	6.5	2583500	2597334	36910018	6.5	2067625795	2971291576	227	1184	282	3589260	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	1	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.18	Tertiary Adjunct	Seven of Nine	--	--	--
1	2	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.35	Two But One	S31 Georgiou	--	--	--
1	3	Officer Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.25	Two But One	S31 Georgiou	--	--	--
1	4	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	Prefect of Bajor	Gul Dukat	--	--	--
1	5	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.9	In Your Element	Andy Billups	--	--	--
1	6	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.6	Outcast Spy	Garak	--	--	--
1	7	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.65	Hold, Please	Gwen DeMarco	--	--	--
1	8	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.95	Purity of Will	Icheb	--	--	--
1	9	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	1.2	Bedside Manner	Doctor T'Ana	--	--	--
1	10	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	15000	Active Listening	Romi	--	--	--
1	11	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	12000	Logical Tactics	Infiltrator Tuvok	--	--	--
1	12	Officer Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	1.25	Take the Shot	Mirror Picard	--	--	--
1	13	Forbidden Tech Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	24.8	--	Tantalus Field	--	--	--
1	14	Forbidden Tech Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	10	--	Time Crystal	--	--	--
1	15	Forbidden Tech Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	17.5	--	Time Crystal	--	--	--
1	16	Forbidden Tech Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	3	--	Q Cannon	--	--	--
1	17	Forbidden Tech Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	15	--	Q Cannon	--	--	--
1	18	Attack	xxBEGSxx	Ronin	ROTARRAN	NO	TojlathHD	The Pack	ROTARRAN	NO	--	--	YES	57363356	229453424	137585856	4267868928	333300800	230214028	4795358336	--	--	--	--	--	--	--
1	19	Attack	xxBEGSxx	Ronin	ROTARRAN	NO	TojlathHD	The Pack	ROTARRAN	NO	--	--	YES	57086776	228347104	136922480	4247291136	331693760	229104040	4772237216	--	--	--	--	--	--	--
1	20	Attack	TojlathHD	The Pack	ROTARRAN	NO	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	NO	2043394	8173577	28625184	257458048	35055972	47499451	283856724	--	--	--	--	--	--	--
1	21	Attack	TojlathHD	The Pack	ROTARRAN	NO	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	NO	2588152	10352609	36256504	326094976	44401704	60162549	359531396	--	--	--	--	--	--	--
1	22	Officer Ability	xxBEGSxx	Ronin	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.5	Manic Ambition	Gul Dukat	--	--	--
1	23	Forbidden Tech Ability	TojlathHD	The Pack	ROTARRAN	NO	--	--	ROTARRAN	NO	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	2	--	Q Cannon	--	--	--
1	24	Attack	xxBEGSxx	Ronin	ROTARRAN	NO	TojlathHD	The Pack	ROTARRAN	NO	--	--	YES	59634848	238539392	143034016	4436869120	346498944	239330112	4985246208	--	--	--	--	--	--	--
