Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
TojlathHD	66	DEFEAT	U.S.S. ENTERPRISE-D	60	2829197568	0	SNW Christopher Pike	Kathryn Janeway	SNW M'Benga	2306617541	0	2158204705	0	Intello	3/22/2026 10:57:32 AM
Jimbob1325	64	VICTORY	U.S.S. ENTERPRISE-D	50	2670171904	0	Christopher Pike	Marlena Moreau	Grace Chen	2190937807	418315407	2054736072	0	Intello	3/22/2026 10:57:32 AM

Reward Name	Count

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	411338272	185448208	2232411136	Galaxy Class	Prepared For Anything	Quick Thinker	Bend the Rules	Fight for Peace	6.5	344773440	3667329	3667329	42934123	0.22	3.15	6.5	2569220	31976361	2544062	6.5	2158204705	2306617541	188	1184	480	4128750	0	1	NO	NO
Enemy Fleet 1	384607968	162726976	2122836992	Galaxy Class	Teaching Moments	Advanced Training	No Fear	Energy Absorber	6.5	323557664	3353646	3353646	39358741	0.22	4.15	6.5	2217604	28134032	2193758	6.5	2054736072	2190937807	167	1045	319.09	3371690	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	1	Officer Ability	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	1.2	Teaching Moments	Christopher Pike	--	--	--
1	2	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2108023	8432092	20432222	63499936	12175650	33910310	72737613	--	--	--	--	--	--	--
1	3	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2361254	9445017	22886690	71128016	13638279	37983865	81475391	--	--	--	--	--	--	--
1	4	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2233022	8932086	21643782	67265264	12897625	35921075	77050704	--	--	--	--	--	--	--
1	5	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2316021	9264083	22448260	69765448	13377016	37256225	79914603	--	--	--	--	--	--	--
1	6	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2072535	8290140	20088252	62430932	11970676	33339440	71513095	--	--	--	--	--	--	--
1	7	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2012641	8050566	19507726	60626760	11624740	32375972	69446461	--	--	--	--	--	--	--
1	8	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1920121	7680486	27077436	94886816	22089900	45459986	108194773	--	--	--	--	--	--	--
1	9	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1849805	7399218	26085832	91411960	21280944	43795194	104232565	--	--	--	--	--	--	--
1	10	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2083028	8332113	29374736	102937184	23964048	49316897	117374212	--	--	--	--	--	--	--
